time,pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,ankle_angle_r,subtalar_angle_r,mtp_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,ankle_angle_l,subtalar_angle_l,mtp_angle_l,lumbar_extension,lumbar_bending,lumbar_rotation,arm_flex_r,arm_add_r,arm_rot_r,elbow_flex_r,pro_sup_r,arm_flex_l,arm_add_l,arm_rot_l,elbow_flex_l,pro_sup_l
45.75,-4.401624079947536,2.8386358156106315,4.2137899379813755,0.1279572915087791,0.903204852585724,-0.010513726930121208,27.42858870225194,-4.113352805302997,-12.447059872663008,1.8263708586140688,3.9994603492464265,2.4001016691173014,0.0,-6.987067295389639,5.850853431875133,6.870101483561765,5.283594640358375,9.342555656591188,1.7253471180096098,0.0,-1.6376922088593933,-2.399605923645993,-8.688855113519027,-28.45121635771995,3.682540926347133,-70.92973105192591,91.48849802015363,91.20560098140294,46.751917561742076,-29.548092725726548,10.81867706553533,93.01370708894098,85.6575160532967
45.760166687,-4.506864586444014,2.593920002674204,4.303300643926948,0.12925942595507758,0.9018833645641993,-0.009859255745457384,27.21414278696494,-3.6935145260192797,-12.222545467964583,1.2457044977285452,4.137672377030814,3.5219284560758215,0.0,-7.404579765246944,5.51793887514552,7.304639544798498,5.806770183828079,9.8305979422134,1.6082571623590387,0.0,-1.3303146564035269,-2.0208337977848587,-8.772008389246755,-28.21858351526076,4.434602975456655,-74.96121810153869,96.79408493863446,90.87743400953917,46.19434787675617,-29.512587526811007,10.507076153598819,93.15793849300144,85.97359504205726
45.770333352,-4.602088259256947,2.3271697239086415,4.379681048504783,0.13065004642942685,0.900714139257903,-0.009110906396633155,26.9733222496157,-3.2407619623557533,-11.900941024840872,0.8852573270357286,4.187037350594364,4.352460227671648,0.0,-7.782872650697733,5.143553548990355,7.655168871910916,6.398200313863661,10.247797240090405,1.4729827276929592,0.0,-1.016709436901984,-1.622073647675745,-8.842705798567303,-27.882905445681157,5.097568249653092,-78.68674673102632,101.22494492672931,90.57367547195457,45.566109762340204,-29.452591482751476,10.1360673320329,93.27312341181774,86.27230676700262
45.780499978,-4.679554817812684,2.021358346627794,4.432785009748901,0.13219752849895705,0.8998148342195116,-0.00819613666588821,26.685746700428847,-2.7296613491098376,-11.40722242269052,0.9151987207754377,4.078900728039159,4.6666053811245165,0.0,-8.091639909246062,4.695651858853533,7.856773624893869,7.110627210993298,10.539411241509995,1.305472171135751,0.0,-0.6920642621831057,-1.1878801818543037,-8.8913223538024,-27.364556291660815,5.602589241049061,-81.8698945248375,104.10515262913991,90.31318643150125,44.812595795752785,-29.349179849573055,9.65974448885121,93.33681683406478,86.54023106973013
45.790666648,-4.729342141013786,1.6963018324251262,4.467882648165339,0.13391192640789276,0.8992302202320706,-0.007115135501014409,26.33256135614996,-2.1799869859701326,-10.77842956938672,1.2695196560290785,3.78498236838582,4.466345986404607,0.0,-8.29697051080289,4.190642669787513,7.875449707475227,8.034326532959938,10.580619813495423,1.12527449657508,0.0,-0.3813958171066977,-0.7560292965368557,-8.873772377855543,-26.751367322748962,5.91082030461852,-84.278907679487,104.93973469666625,90.14109904717871,43.98604443507353,-29.171532389842465,9.128281640010302,93.3377032710695,86.76198490243094
45.800833335,-4.764205425508779,1.3639588010786607,4.494892465446671,0.13570620697882071,0.8988004763467273,-0.005955575952928538,25.945527908679,-1.613817288648149,-10.089494465847283,1.7708760893937965,3.4018719445064227,4.024053515195226,0.0,-8.447891131180407,3.6598064649866986,7.804019961477253,9.072600765929746,10.487088509693503,0.9413864686798037,0.0,-0.08027085522742489,-0.32832918941825256,-8.820086709165865,-26.10252487152051,6.119027956074128,-86.29020021415272,104.75147326023351,90.0179412035722,43.129836590055156,-28.956002880341156,8.576121467458602,93.30848871297954,86.96001796908273
45.811000022,-4.751695076757199,1.033285733856082,4.5092369557055045,0.1376728830044525,0.8987435236025857,-0.004635491264188712,25.463307182400506,-1.0298189843886782,-9.311469282841776,2.515351358324117,2.823738645465282,3.0969593593968687,0.0,-8.437018587149225,3.086827406595254,7.5149871818558305,10.479880600113093,9.968043182624784,0.771067103161025,0.0,0.17444821584226133,0.06301918659965772,-8.64800190759851,-25.46476116278582,6.058537079540224,-87.19691351628148,101.95934459950374,90.06025614036479,42.257528843963264,-28.637433081033528,8.030757112016826,93.21392596415022,87.09217067173708
45.821166682,-4.7103732998382775,0.7103384472722177,4.520096678015349,0.13968379749409376,0.8988423142647904,-0.0032684982323877097,24.933022543454374,-0.44770791844286906,-8.52490189883669,3.3032805300460186,2.1965176981505974,2.033293395184824,0.0,-8.336422499116624,2.5039974752796437,7.142553056414702,12.105092864305899,9.2204567553998,0.6149733865466988,0.0,0.39804517500719405,0.43547535682711225,-8.42192232939469,-24.871483063204707,5.860996989682184,-87.56103088929001,98.09873255267667,90.19981621133307,41.39262414020899,-28.281908403538214,7.507701229959852,93.1073833314551,87.19132771200134
45.831333308,-4.632770465227148,0.39711992149266107,4.526568174019061,0.14175041967915442,0.8991372262535055,-0.0018424354352504107,24.342212977445282,0.13202662518203234,-7.72757766912843,4.145929431209171,1.5074826752321906,0.7976481166740632,0.0,-8.12284120752668,1.9087627410224917,6.665095014015424,14.004738558880982,8.18507783168174,0.4767934500342753,0.0,0.582451326588363,0.784141341985104,-8.127849328759764,-24.334223878854026,5.490876408971529,-87.24187931451752,92.8926229085419,90.46183311793001,40.537041786065025,-27.879847953510254,7.012737499572634,92.9857549190771,87.24893465888547
45.841499983,-4.494026793037845,0.1002112725931916,4.525464124006052,0.14379153857970567,0.8996646493781194,-0.00038391554034927517,23.666394739172233,0.6981847808440379,-6.958584390106612,4.971011482650778,0.8424445006327155,-0.520861629615426,0.0,-7.734526842688043,1.3069137818640773,6.092021955860621,16.336437647991595,6.755968866445727,0.3559315691923894,0.0,0.7031574303426265,1.1202549951131222,-7.7843633773608225,-23.88786133118943,4.870383017382812,-85.99682506984783,86.3512999376374,90.90283030408666,39.66704875428617,-27.463918402286808,6.54207443764031,92.89847618565085,87.24590783410008
