time,pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,ankle_angle_r,subtalar_angle_r,mtp_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,ankle_angle_l,subtalar_angle_l,mtp_angle_l,lumbar_extension,lumbar_bending,lumbar_rotation,arm_flex_r,arm_add_r,arm_rot_r,elbow_flex_r,pro_sup_r,arm_flex_l,arm_add_l,arm_rot_l,elbow_flex_l,pro_sup_l
44.2333333,-12.141734095390849,2.768848384892344,-0.4285730002622512,0.02543310513466142,0.9276785006005346,0.062378103633174205,-1.9585738528608971,0.1792483306754823,0.7724562263133438,13.519014824452261,-0.883390688794124,-7.004116092626518,0.0,32.90238249228949,4.975842302002534,4.52963087188051,14.602146135518648,4.497383696218652,-15.191305156110117,0.0,-2.042828366035774,-4.019588222625609,11.645674646166993,12.58050655458296,-10.361825372476844,18.481017958777354,115.02299584851299,99.212778957047,-38.01357173195238,-14.793221385466314,-3.720413504926896,96.79927452530656,92.48969961911372
44.240499981,-11.697661395706822,2.973143149770537,-0.26177714615395226,0.02575664504825422,0.9239365682740943,0.06222781089479836,-2.046282708633269,-0.25824728648397915,0.31922040570168164,15.844587802502113,-1.5509655222496987,-6.776532324475811,0.0,31.844739540107735,5.39729899036527,4.664514241010129,13.571780202290224,4.798489111990911,-14.272717081915557,0.0,-2.5245537469192256,-4.475788552138289,11.347695959041289,11.377035851298093,-10.531779080214434,18.169604420409787,115.00089919773501,99.15411404959379,-38.40911365815601,-15.167591624949397,-3.92509732793317,97.41332044402976,92.64682771249136
44.247666662,-11.253588696022796,3.17743791464873,-0.09498129204565331,0.026080184961847025,0.9201946359476539,0.06207751815642252,-2.1339915644056413,-0.6957429036434406,-0.13401541490998048,18.170160780551964,-2.218540355705273,-6.5489485563251035,0.0,30.787096587925976,5.818755678728005,4.7993976101397475,12.5414142690618,5.09959452776317,-13.354129007720998,0.0,-3.006279127802677,-4.93198888165097,11.049717271915586,10.173565148013225,-10.701732787952025,17.858190882042216,114.97880254695701,99.09544914214058,-38.80465558435964,-15.54196186443248,-4.1297811509394435,98.02736636275297,92.803955805869
44.254833343,-10.883730893680534,3.414133215405476,0.04875587402640463,0.026385759489493628,0.9155850270829736,0.06196904580754051,-1.8520241577853471,-1.1980456706033376,-0.5661705537790908,21.050324377600734,-2.820655058565891,-6.460140331472229,0.0,29.86434374284367,6.260956963245816,4.915806633940756,12.085988304360585,5.520154292705263,-12.628090420324472,0.0,-3.3776726640942774,-5.439701813780403,10.624707432780285,8.814166132190607,-10.837658117425812,17.570804086147575,114.80188820144969,99.04164597583605,-39.21972899929731,-15.938430820763065,-4.254422010883625,98.6849354628512,92.96315055844539
44.262000024,-10.549700972813607,3.6664701541725586,0.18136125966717387,0.026682661072200686,0.9105565398894878,0.061880762612207235,-1.3915923486306625,-1.7316346478117208,-0.9881488118069691,24.19822137692484,-3.3911683190703235,-6.438327196487273,0.0,29.006710259809367,6.713172880390213,5.023297008272781,11.908119565844917,5.998381674487965,-11.995006757589069,0.0,-3.69580255127257,-5.972282898897236,10.138372209916213,7.379491379280799,-10.95715595394466,17.29501640730883,114.55023427917648,98.99018985698262,-39.644231408796244,-16.345568123157964,-4.340421440384037,99.36351575395808,93.12334300856602
44.26916669,-10.262379157260217,3.939657980184263,0.2984468286680112,0.02698947565255253,0.9052974136852409,0.061781654085488295,-0.7552689524262063,-2.303235201676668,-1.3861632747942765,27.558688000046914,-3.9185951379386514,-6.491215089024997,0.0,28.234277353698598,7.179400376233808,5.108387200546142,11.984679232537742,6.541365292683648,-11.474673636124983,0.0,-3.95168796204117,-6.5246469042098845,9.60137546857023,5.884355903494075,-11.063112339198025,17.03362886058109,114.19048935393187,98.94239864311024,-40.047355736428116,-16.76059134834807,-4.361670812619937,100.02257265239804,93.29578860382983
44.276333328,-10.062245804958764,4.25176746238593,0.3865620732743088,0.027314794495174648,0.8996077613275734,0.061662338273516096,0.20938540627115754,-2.9457906986338678,-1.739445320372518,31.315951254258504,-4.365593932419585,-6.6835448996050575,0.0,27.62088552451175,7.671782818982571,5.151663719643328,12.53617192228642,7.2052272188502275,-11.164808191700692,0.0,-4.091383683511678,-7.113939027221392,8.969810559391346,4.276360411670446,-11.143791348755824,16.79912156046057,113.62897455647398,98.9014485852025,-40.41057431124148,-17.190334962755884,-4.262053411295414,100.6451858845264,93.49110673669422
44.283499967000004,-9.86523498004049,4.564937287827968,0.47364916814258456,0.027642491616983456,0.8939208367736564,0.06154012590461132,1.1834260052244852,-3.590179741481726,-2.0901713213691266,35.08024549676952,-4.809282340268091,-6.881172726662112,0.0,27.01283943807788,8.164815702120555,5.1932668538528235,13.099829335996525,7.873281627523629,-10.861878893438798,0.0,-4.226906248834813,-7.703371516525481,8.336164325760091,2.665351408898534,-11.224171711923125,16.56526156167337,113.05753045855583,98.86081144243434,-40.76927920321705,-17.6202350418647,-4.156223096183017,101.26340628557203,93.68801176181256
44.290666648,-9.79937030521582,4.922641529365643,0.5175539740139419,0.028070076464633244,0.8883484799772599,0.06129625814453821,2.5516886949282798,-4.3115777117372405,-2.333543449937165,39.13984124785657,-5.113934509554622,-7.301317245752914,0.0,26.629314547269125,8.685167081605833,5.1645878227793105,14.174405156086655,8.717420301483566,-10.850267733997583,0.0,-4.187156255968284,-8.29869939011806,7.615102465129212,0.9277749462987568,-11.29200892668944,16.3585882188856,112.06905574130701,98.83331673552847,-40.9384094160048,-18.056706638415342,-3.7894504019799156,101.69712778114351,93.95156626159697
44.297833329,-9.733505630391148,5.280345770903319,0.5614587798852991,0.02849766131228303,0.8827761231808633,0.0610523903844651,3.919951384632075,-5.032975681992756,-2.576915578505204,43.19943699894362,-5.418586678841153,-7.721461764843716,0.0,26.245789656460374,9.20551846109111,5.135908791705797,15.248980976176785,9.561558975443502,-10.83865657455637,0.0,-4.147406263101755,-8.894027263710639,6.894040604498334,-0.8098015163010199,-11.359846141455758,16.15191487609783,111.0805810240582,98.80582202862259,-41.10753962879256,-18.49317823496598,-3.4226777077768133,102.13084927671498,94.21512076138139
