PacketCounter,SampleTimeFine,_Quat_W,_Quat_X,_Quat_Y,_Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,
46,1145759716,0.131428719,0.69513768,-0.116318963,0.697122693,13.79177761,-1.038674116,-9.961087227,30.79130936,87.3135376,37.46121216,-1.046875,-0.931152344,0.542480469, 
47,1145768049,0.127750561,0.689714015,-0.114688814,0.703435004,14.7587328,-2.950686216,-7.879565239,52.35591507,108.6899414,38.91539764,-1.114746094,-0.927734375,0.521484375, 
48,1145776382,0.123413682,0.683838665,-0.11147096,0.71042788,9.647062302,-2.303137064,2.822403908,74.26057434,121.1362457,32.1102829,-1.104980469,-0.915039063,0.522460938, 
49,1145784715,0.119366027,0.678820074,-0.107860558,0.716464221,8.609729767,-2.533172131,6.379281521,75.34542847,105.0093918,22.68342781,-1.171386719,-0.9140625,0.502929688, 
50,1145793048,0.116026931,0.674782932,-0.104090914,0.72136718,9.25185585,-0.968574345,2.619550467,70.23913574,85.9524765,10.87040424,-1.157226563,-0.90234375,0.507324219, 
51,1145801381,0.113102101,0.67094481,-0.100569092,0.725897014,9.701565742,-0.165568575,-0.120265335,63.71127319,80.83070374,8.209144592,-1.219238281,-0.900878906,0.488769531, 
52,1145809714,0.110616744,0.666948736,-0.097359493,0.730386496,8.596507072,0.45225665,0.980049431,56.2665329,82.03101349,6.830774307,-1.201171875,-0.893554688,0.486816406, 
53,1145818047,0.109044023,0.663075805,-0.094990075,0.734449863,9.154842377,0.37198016,1.712518215,39.04502106,76.95623016,4.584888458,-1.262207031,-0.890625,0.460449219, 
54,1145826380,0.108137578,0.659044504,-0.093283027,0.738420427,8.879277229,0.112748325,1.62311554,25.93800545,77.45959473,3.935995579,-1.247070313,-0.887207031,0.451171875, 
55,1145834713,0.107521854,0.65530479,-0.092156515,0.741971493,8.737937927,1.403606415,1.294112444,17.28629494,70.33507538,5.27444315,-1.30859375,-0.877929688,0.417480469, 
56,1145843046,0.107089132,0.651980579,-0.091531679,0.745033741,9.479186058,0.724008799,0.607278407,10.53846264,61.05118942,6.653538227,-1.292480469,-0.876953125,0.406738281, 
57,1145851379,0.106238708,0.648598552,-0.090885863,0.748179853,9.364228249,0.544246733,1.148503184,14.49485493,62.02721786,10.96591759,-1.352539063,-0.874511719,0.374023438, 
58,1145859712,0.104823604,0.645641208,-0.090025917,0.75103581,8.483506203,1.097595334,1.437110305,22.00821877,54.55495071,13.88950443,-1.342285156,-0.869140625,0.359375, 
