PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z
0, 1145384731, 0.9535080790519714, 0.0785612240433693, -0.28788143396377563, 0.04213416203856468, 0, 0, 0, 0, 0, 0, 0.118896484375, 0.836669921875, -0.740234375
1, 1145393064, 0.9577812552452087, 0.07797402143478394, -0.27328184247016907, 0.043505072593688965, 8.335233688354492, -0.5694145560264587, 9.672160148620605, 1.2475768327713013, 209.54605102539062, 1.9285577535629272, 0.205078125, 0.843505859375, -0.71484375
2, 1145401397, 0.9617757201194763, 0.07710824906826019, -0.25885891914367676, 0.045106250792741776, 8.472879409790039, -0.5488823652267456, 9.737211227416992, -1.4085288047790527, 207.35284423828125, 6.289825916290283, 0.22998046875, 0.839111328125, -0.727783203125
3, 1145409730, 0.9656164050102234, 0.07589542865753174, -0.24419274926185608, 0.046850793063640594, 8.628278732299805, -0.6156659722328186, 10.392721176147461, -5.1227898597717285, 209.6390838623047, 9.327414512634277, 0.314208984375, 0.839599609375, -0.6953125
4, 1145418063, 0.9692630171775818, 0.07472039759159088, -0.22926822304725647, 0.048810262233018875, 8.399007797241211, -0.45636945962905884, 10.339963912963867, -3.5825507640838623, 213.36776733398438, 11.842487335205078, 0.34130859375, 0.83251953125, -0.708984375
5, 1145426396, 0.9726614356040955, 0.07372160255908966, -0.21425798535346985, 0.050879333168268204, 7.463488578796387, 0.21672667562961578, 9.165513038635254, -0.5133041739463806, 212.99522399902344, 12.887434005737305, 0.422607421875, 0.8291015625, -0.6728515625
6, 1145434729, 0.9757315516471863, 0.0727822482585907, -0.19963450729846954, 0.052886176854372025, 6.52639102935791, 1.154737114906311, 8.298152923583984, 0.09945105016231537, 207.47830200195312, 12.440244674682617, 0.447509765625, 0.816650390625, -0.678955078125
7, 1145443062, 0.9785133600234985, 0.07163766026496887, -0.18551072478294373, 0.0544607900083065, 5.841139316558838, 2.2195403575897217, 9.275066375732422, -3.8512866497039795, 198.9907989501953, 7.968138217926025, 0.5234375, 0.808837890625, -0.640869140625
8, 1145451395, 0.981042206287384, 0.07023562490940094, -0.1718803346157074, 0.05550488457083702, 5.598188877105713, 2.6143157482147217, 10.71638011932373, -8.85430908203125, 192.0812530517578, 2.106365203857422, 0.538330078125, 0.795654296875, -0.646240234375
9, 1145459728, 0.9833780527114868, 0.06862940639257431, -0.1584838330745697, 0.05604361742734909, 5.556186676025391, 2.5064094066619873, 11.847474098205566, -12.738611221313477, 187.4541778564453, -3.8018341064453125, 0.612548828125, 0.79052734375, -0.59912109375
