PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,
23,1210973774,0.997755229,0.029139893,0.053073563,-0.028637113,17.97702217,-0.450853884,-0.507902086,-10.43138218,-16.84291458,-27.31530571,0.670898438,0.66015625,0.218994141, 
24,1210982107,0.997843146,0.028938955,0.050877851,-0.029743431,16.80119133,-0.776749611,0.306229711,-1.494156599,-30.57699776,-14.60622501,0.676269531,0.678222656,0.204345703, 
25,1210990440,0.99797827,0.029207094,0.047842909,-0.029973481,15.84499645,-1.229935169,1.833423376,4.376749516,-41.45259857,-1.927678704,0.689453125,0.671386719,0.202880859, 
26,1210998773,0.998157322,0.029922059,0.044069521,-0.029078897,14.94033718,-2.076314449,3.08629179,10.33374214,-51.11130524,14.1419487,0.701416016,0.693115234,0.182617188, 
27,1211007106,0.998363376,0.031358358,0.039601222,-0.026830338,14.69638634,-2.803147316,3.521236658,19.41381836,-59.53719711,33.43465042,0.711669922,0.679443359,0.178222656, 
28,1211015439,0.998552024,0.033658441,0.034798868,-0.023475451,14.13924408,-2.498438358,3.279116631,31.06831169,-63.60341263,49.25712204,0.719726563,0.692626953,0.160644531, 
29,1211023772,0.998676658,0.03644662,0.030671366,-0.019420341,8.448589325,-2.116051435,0.761362076,37.01185608,-53.39920044,58.74414063,0.736816406,0.681152344,0.152099609, 
30,1211032105,0.998577893,0.04054077,0.03028121,-0.016821297,-7.545770168,-1.430497766,-1.39489007,54.91002655,-2.784687996,37.39476395,0.754638672,0.697021484,0.128417969, 
31,1211040438,0.998571157,0.045676041,0.023419602,-0.014897433,-20.37392235,9.527651787,29.30270004,70.72892761,-91.29511261,32.14543533,0.774169922,0.688232422,0.116455078, 
32,1211048771,0.998339057,0.053619184,0.016401168,-0.013271557,-7.061540604,10.27212906,29.87163162,109.762619,-93.5196228,29.05087471,0.787109375,0.702392578,0.081542969, 
33,1211057104,0.998075962,0.060087174,0.011571156,-0.01006485,2.137979984,-0.64243263,9.527176857,88.54969788,-62.16319275,48.76266479,0.8046875,0.69140625,0.064697266, 
34,1211065437,0.997848868,0.065046109,0.005086327,-0.006484286,12.91543484,-4.5978508,4.100914955,68.2052536,-85.18849182,55.0651741,0.817382813,0.701660156,0.032226563, 
35,1211073770,0.997608721,0.069039635,-0.002612774,-0.002118803,12.36525631,-2.191246986,8.459989548,54.77618027,-100.841423,66.81137085,0.843261719,0.694335938,0.00390625, 
36,1211082103,0.997289836,0.072621785,-0.011184368,0.003863566,5.116254807,0.997621,11.74825668,49.53707886,-111.6832886,89.87709045,0.869384766,0.704833984,-0.044433594, 
37,1211090436,0.996743798,0.077398971,-0.019968972,0.010647947,-1.835687518,4.570719242,15.54252815,66.06987,-113.3941269,100.8620911,0.907226563,0.698730469,-0.077148438, 
38,1211098769,0.995931983,0.083763175,-0.028518561,0.01705973,-3.151074648,10.81657505,14.92063236,88.23490143,-111.3835602,95.16212463,0.928466797,0.700927734,-0.127929688, 
39,1211107102,0.99507153,0.089214094,-0.037336059,0.021923425,0.443301558,11.60688782,8.621500969,74.9228363,-116.1171341,74.57891083,0.942871094,0.683837891,-0.155761719, 
40,1211115435,0.994359016,0.09206605,-0.046177629,0.025351621,1.870762229,9.196322441,11.89430046,38.62035751,-117.8726578,56.31444931,0.942626953,0.68359375,-0.189941406, 
41,1211123768,0.993583977,0.094358474,-0.055614661,0.028203182,0.608118534,4.547593594,15.12605762,30.21266937,-126.0823669,49.51083755,0.950683594,0.673339844,-0.217041016, 
42,1211132101,0.992521286,0.097955018,-0.065688394,0.031505488,0.131892323,0.871590495,14.62741089,48.76572418,-135.4288025,55.65888977,0.944580078,0.676269531,-0.265625, 
43,1211140434,0.991198719,0.102978744,-0.075689703,0.034536183,2.397469997,0.552868128,11.59779549,68.08542633,-135.1523895,50.64125824,0.954101563,0.661865234,-0.316894531, 
44,1211148767,0.989728093,0.10850767,-0.085043721,0.03785865,2.901303768,1.59621954,11.28670311,76.08901215,-126.819046,53.2826767,0.944580078,0.657470703,-0.37109375, 
45,1211157100,0.988084555,0.114727788,-0.094188064,0.040696241,1.794152617,3.302354813,10.06449986,85.02423096,-124.747261,45.61097717,0.94921875,0.638427734,-0.420654297, 
46,1211165433,0.98640883,0.119818598,-0.103935063,0.042892188,1.940004349,5.589744091,10.93722343,68.83215332,-133.8605347,39.36582947,0.932128906,0.635009766,-0.476318359, 
47,1211173766,0.98485291,0.12283852,-0.1137655,0.045100052,3.672070503,4.893165112,11.11083889,40.2454834,-133.0739441,42.51192856,0.923583984,0.620361328,-0.506835938, 
48,1211182099,0.983648837,0.124782346,-0.120910868,0.047392875,6.267021179,2.130195141,12.78021526,27.14228249,-95.85198975,40.63246155,0.899902344,0.615722656,-0.549560547, 
49,1211190432,0.98253876,0.128342614,-0.125596538,0.048706859,3.38210988,1.470852375,10.47391605,48.53753281,-64.64764404,20.39216614,0.895751953,0.606445313,-0.58203125, 
50,1211198765,0.981682718,0.131122306,-0.128919467,0.049868979,3.891710758,5.458996773,10.66604233,38.47679138,-46.05083084,17.14436913,0.875244141,0.601318359,-0.617919922, 
51,1211207098,0.981282592,0.131525934,-0.130956262,0.051350743,3.998824835,5.632691383,9.707971573,6.755928993,-25.15256882,22.99724388,0.870605469,0.594970703,-0.638427734, 
52,1211215431,0.981119096,0.130901396,-0.132318527,0.052566253,3.76106286,3.674695253,9.975150108,-7.277393341,-15.90176296,19.91015053,0.854248047,0.600097656,-0.663330078, 
53,1211223764,0.981126428,0.129611775,-0.133111089,0.053613231,3.620931149,3.801686764,10.19801998,-16.74285698,-7.195146084,17.67072105,0.848876953,0.596191406,-0.666748047, 
54,1211232097,0.981176078,0.128055841,-0.133809894,0.054693434,2.663228512,2.728935003,9.981813431,-19.99238586,-6.128772736,18.43651199,0.826904297,0.601806641,-0.683105469, 
55,1211240430,0.981271803,0.126213714,-0.134557828,0.055417143,3.774632454,3.686807394,10.10160542,-24.92259216,-6.583016872,14.1800127,0.821533203,0.601318359,-0.686035156, 
56,1211248763,0.981417656,0.123788081,-0.135379314,0.05629766,2.311625481,2.942448854,9.689490318,-32.35596848,-7.302550793,17.48981857,0.799316406,0.609130859,-0.698242188, 
57,1211257096,0.981571078,0.12115334,-0.136421546,0.056836158,3.370009422,3.263125181,9.219571114,-36.29498291,-10.15216446,13.60872078,0.79296875,0.611572266,-0.701904297, 
58,1211265429,0.981819808,0.117651649,-0.137367561,0.057612177,2.655156374,2.603610992,9.419811249,-47.33821106,-8.137738228,18.23085785,0.764892578,0.623046875,-0.706787109, 
59,1211273762,0.982050419,0.114133924,-0.138502315,0.058040086,2.789747953,2.254923344,8.891571045,-48.63135147,-10.73405457,13.86889935,0.752197266,0.626708984,-0.692138672, 
60,1211282095,0.982268572,0.11059688,-0.139567003,0.058642663,2.477854013,1.356765389,8.873699188,-48.18535614,-10.05863094,16.17654228,0.731445313,0.641601563,-0.696777344, 
61,1211290428,0.982411206,0.107806563,-0.140669286,0.058814876,2.491613865,1.167130232,9.094011307,-39.13663864,-11.43375015,9.048563004,0.724121094,0.648193359,-0.684814453, 
62,1211298761,0.982559681,0.105175786,-0.141574517,0.05892691,3.842338562,1.801254392,9.268468857,-36.65022659,-9.512063026,7.630195618,0.703369141,0.658203125,-0.691162109, 
63,1211307094,0.982657969,0.103087157,-0.142383143,0.059027791,2.027609825,0.599509239,9.719568253,-29.48487473,-8.232318878,6.327041149,0.695800781,0.664794922,-0.673828125, 
64,1211315427,0.982669234,0.101852797,-0.143371299,0.058589675,3.198539972,2.061746359,9.666240692,-18.72990417,-12.8137579,-2.307561636,0.676269531,0.675292969,-0.684326172, 
65,1211323760,0.982749462,0.099924318,-0.144143552,0.058671951,4.183212757,1.982613087,9.341720581,-27.28855515,-7.947821617,5.739962101,0.674560547,0.680419922,-0.663085938, 
66,1211332093,0.982775331,0.098885775,-0.144858956,0.058233269,2.150468111,0.643648922,9.132525444,-15.89133167,-9.246151924,-3.103062868,0.658935547,0.694580078,-0.67578125, 
67,1211340426,0.982781947,0.097901806,-0.145601496,0.057934709,3.503320932,2.535274506,8.985221863,-15.15041351,-8.974382401,-1.252664328,0.655761719,0.699462891,-0.666259766, 
68,1211348759,0.98282057,0.096676439,-0.146180958,0.057878692,2.625677586,1.357677937,8.54801178,-17.56038475,-6.717285156,2.250301123,0.645019531,0.709228516,-0.674316406, 
69,1211357092,0.982819259,0.095927462,-0.146790385,0.057601601,2.751932383,1.729949355,8.590287209,-11.81449223,-7.347829819,-1.61093092,0.641845703,0.713134766,-0.6640625, 
